organizationSlug,branchCode,supplierName,billNumber,billDate,dueDate,status,sourceType,subtotal,taxAmount,totalAmount,approvedByEmail,servicePeriodStart,servicePeriodEnd,notes
nimbus,TAPAS_DOWNTOWN,CleanOps Services,VB-2026-0011,2026-06-11T09:00:00Z,2026-06-24T09:00:00Z,PARTIALLY_PAID,EXPENSE,1905500.00,343000.00,2248500.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,GARDEN_CAFE,Skyline Beverage Supply,VB-2026-0012,2026-05-25T09:00:00Z,2026-06-23T09:00:00Z,PARTIALLY_PAID,MANUAL_SERVICE,1811600.00,326100.00,2137700.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,ROOFTOP_BAR,CleanOps Services,VB-2026-0013,2026-06-09T09:00:00Z,2026-07-30T09:00:00Z,DRAFT,EXPENSE,691100.00,124400.00,815500.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,Kampala Dry Goods,VB-2026-0014,2026-06-06T09:00:00Z,2026-07-29T09:00:00Z,APPROVED,UTILITY,849300.00,152900.00,1002200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,TAPAS_DOWNTOWN,Cloud Apps Demo,VB-2026-0015,2026-06-20T09:00:00Z,2026-07-16T09:00:00Z,PAID,MANUAL_SERVICE,1811700.00,326100.00,2137800.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,ROOFTOP_BAR,Lake Harvest Foods,VB-2026-0016,2026-04-30T09:00:00Z,2026-06-23T09:00:00Z,APPROVED,MANUAL_SERVICE,1698000.00,305600.00,2003600.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,TAPAS_DOWNTOWN,Kampala Utilities Demo,VB-2026-0017,2026-06-22T09:00:00Z,2026-06-25T09:00:00Z,PARTIALLY_PAID,SUBSCRIPTION,1266200.00,227900.00,1494100.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,TAPAS_DOWNTOWN,Event Rentals Demo,VB-2026-0018,2026-04-28T09:00:00Z,2026-07-28T09:00:00Z,PAID,EXPENSE,1881500.00,338700.00,2220200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,TAPAS_DOWNTOWN,Lake Harvest Foods,VB-2026-0019,2026-06-21T09:00:00Z,2026-07-06T09:00:00Z,PARTIALLY_PAID,MANUAL_SERVICE,305600.00,55000.00,360600.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,Kampala Dry Goods,VB-2026-0020,2026-06-18T09:00:00Z,2026-07-04T09:00:00Z,DRAFT,SUBSCRIPTION,674400.00,121400.00,795800.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,ROOFTOP_BAR,Kampala Dry Goods,VB-2026-0021,2026-05-07T09:00:00Z,2026-07-15T09:00:00Z,APPROVED,MANUAL_SERVICE,2061700.00,371100.00,2432800.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,EVENTS_KITCHEN,Cafe Bean Collective,VB-2026-0022,2026-06-04T09:00:00Z,2026-07-18T09:00:00Z,APPROVED,MANUAL_SERVICE,1393600.00,250800.00,1644400.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,GARDEN_CAFE,Kampala Utilities Demo,VB-2026-0023,2026-04-26T09:00:00Z,2026-07-28T09:00:00Z,DRAFT,MANUAL_SERVICE,1949600.00,350900.00,2300500.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
nimbus,ROOFTOP_BAR,Prime Poultry Demo,VB-2026-0024,2026-05-12T09:00:00Z,2026-07-21T09:00:00Z,PARTIALLY_PAID,EXPENSE,1084100.00,195100.00,1279200.00,accountant@nimbus.demo,2026-05-31T09:00:00Z,2026-06-30T09:00:00Z,Demo AP bill
