method,path,source_status,classification,module,controller,decorator_evidence,auth_permission_notes,branch_org_context,replacement_route,ready_for_frontend,notes
GET,/api/analytics/staff-risk/:userId,report-only,VERIFIED_IN_CODE,Analytics,analytics.controller.ts,@Get('staff-risk/:userId') line 125,pos:analytics:risk-dashboard:read,branch-scoped,,yes,
POST,/api/ar/receipts,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,AccountsReceivable,accounts-receivable.controller.ts,@Post('receipts') line 91 (@Controller('accounting/ar')),accounting:ar:receipt:write,branch-scoped,POST /api/accounting/ar/receipts,yes,M41 report shorthand. Canonical path is /api/accounting/ar/receipts.
GET,/api/catalog,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Reports/Menu,reports.controller.ts + menu.controller.ts,@Get('catalog') reports.controller line 40 / @Get('catalog') menu.controller line 166,pos:reports:catalog:read or pos:menu:read,branch-scoped,GET /api/reports/catalog or GET /api/menu/catalog,yes,M20.1 report shorthand; two distinct catalogs exist. Frontend should call /api/reports/catalog for report list and /api/menu/catalog for menu browse.
POST,/api/components,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,@Post('components') line 23 (@Controller('payroll')),pos:payroll:components:create,branch-scoped,POST /api/payroll/components,yes,M30 report omitted module prefix.
GET,/api/kds/sla-config/:station,report-only,VERIFIED_IN_CODE,KDS,kds.controller.ts,@Get('kds/sla-config/:station') line 37,pos:kds:read,branch-scoped,,yes,
PATCH,/api/kds/sla-config/:station,report-only,VERIFIED_IN_CODE,KDS,kds.controller.ts,@Patch('kds/sla-config/:station') line 47,pos:kds:sla:write,branch-scoped,,yes,
GET,/api/maintenance-windows/:id,report-only,VERIFIED_IN_CODE,ControlPlane,controlplane.controller.ts,@Get('maintenance-windows/:id') line 120,maintenance:read,org-scoped,,yes,Add to M42 Postman as a small follow-up (single-window read GET); not blocking.
PATCH,/api/merchant/events/:id,report-only,VERIFIED_IN_CODE,PublicCommerce(Merchant),public-commerce.controller.ts,@Patch('events/:id') line 73 (@Controller('merchant')),merchant:events:write,branch-scoped,,yes,
GET,/api/orgs,report-only,VERIFIED_IN_CODE,Tenancy,tenancy.controller.ts,@Get('orgs') line 17,JwtAuthGuard (no PermissionGuard),identity-scoped,,yes,Lists orgs current user is member of.
GET,/api/orgs/:orgId,report-only,VERIFIED_IN_CODE,Tenancy,tenancy.controller.ts,@Get('orgs/:orgId') line 23,JwtAuthGuard,identity-scoped,,yes,
GET,/api/payroll/payslips,report-only,VERIFIED_IN_CODE,Payroll,payroll.controller.ts,@Get('payslips') line 165 (alias of /payroll/slips),pos:payroll:slips:read,branch-scoped,,yes,Alias kept for frontend friendliness.
GET,/api/payslips,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,no /api/payslips at root; alias mounted under /payroll,pos:payroll:slips:read,branch-scoped,GET /api/payroll/payslips,yes,M30 report shorthand.
GET,/api/payslips/:id,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,@Get('payslips/:id') line 183 mounted under /payroll,pos:payroll:slips:read,branch-scoped,GET /api/payroll/payslips/:id,yes,
POST,/api/reports/discounts,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Reports,reports.controller.ts,@Post('discounts-summary') line 204,pos:reports:discounts:generate,branch-scoped,POST /api/reports/discounts-summary,yes,M20.1 report shorthand; canonical is *-summary.
POST,/api/reports/refunds,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Reports,reports.controller.ts,@Post('refunds-summary') line 246,pos:reports:refunds:generate,branch-scoped,POST /api/reports/refunds-summary,yes,
POST,/api/reports/voids,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Reports,reports.controller.ts,@Post('voids-summary') line 225,pos:reports:voids:generate,branch-scoped,POST /api/reports/voids-summary,yes,
POST,/api/reports/wastage,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Reports,reports.controller.ts,@Post('wastage-summary') line 338,pos:reports:wastage:generate,branch-scoped,POST /api/reports/wastage-summary,yes,
POST,/api/runs/build,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,@Post('runs/build') line 78,pos:payroll:runs:build,branch-scoped,POST /api/payroll/runs/build,yes,
PATCH,/api/runs/:id/approve,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,@Patch('runs/:id/approve') line 92,pos:payroll:runs:approve,branch-scoped,PATCH /api/payroll/runs/:id/approve,yes,
PATCH,/api/runs/:id/pay,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Payroll,payroll.controller.ts,@Patch('runs/:id/pay') line 107,pos:payroll:runs:pay,branch-scoped,PATCH /api/payroll/runs/:id/pay,yes,
PATCH,/api/settings,report-only,VERIFIED_IN_CODE,Settings,settings.controller.ts,@Patch('settings') line 27,tenancy:settings:manage,org-scoped,,yes,
GET,/api/stream/kds,report-only,VERIFIED_IN_CODE,KDS,kds.controller.ts,@Sse('stream/kds') line 86,JwtAuthGuard (SSE),branch-scoped,,yes,SSE stream; frontend EventSource consumer.
POST,/api/:id/run,report-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Alerts,alerts.controller.ts,@Post('alerts/digests/:id/run') line 155,alerts:digest:write,org-scoped,POST /api/alerts/digests/:id/run,yes,M40 report stripped the prefix; canonical run endpoint is the digest run.
SSE,/api/stream/metrics,report-only,VERIFIED_IN_CODE,Dashboards,dashboards.controller.ts,@Sse('stream/metrics') line 96,JwtAuthGuard,branch-scoped,,yes,Owner/manager metrics stream.
SSE,/api/stream/payments,report-only,VERIFIED_IN_CODE,Payments,payments.controller.ts,@Sse('stream/payments') line 154,JwtAuthGuard,branch-scoped,,yes,M13.1 manual-reference payment status stream.
GET,/api/me,postman-only,INTENTIONALLY_REMOVED_OR_SUPERSEDED,Tenancy,tenancy.controller.ts,@Get('me') line 81,JwtAuthGuard,identity-scoped,GET /api/auth/me,yes,Legacy tenancy context resolver. Canonical frontend context resolver is /api/auth/me. Keep route in code for backwards compat; do NOT assign to new frontend screens.
GET,/api/branch-test,postman-only,DEV_OR_INTERNAL_ONLY,Tenancy,tenancy.controller.ts,@Get('branch-test') line 88,JwtAuthGuard,diagnostic,,no,Dev/QA only. Should not be assigned to any frontend component.
GET,/api/auth/_perm-test,postman-only,DEV_OR_INTERNAL_ONLY,Auth,auth.controller.ts,@Get('_perm-test') line 62,identity:access-matrix:read,diagnostic,,no,Dev-only permission ping. Postman keeps it; do not surface to frontend.
POST,/api/public/payments/reservations/checkout-session,postman-only,BLOCKED_PENDING_PROVIDER,PublicCommercePayments,public-commerce-payments.controller.ts,@Post('reservations/checkout-session') line 36 (@Controller('public/payments')),public (no auth),public-diner,,no,SCAFFOLD ONLY pending MTN/Airtel mobile-money provider confirmation. Returns {status:PENDING_INTEGRATION}. Not PesaPal. Do not implement execution in BG0.
POST,/api/public/payments/event-bookings/checkout-session,postman-only,BLOCKED_PENDING_PROVIDER,PublicCommercePayments,public-commerce-payments.controller.ts,@Post('event-bookings/checkout-session') line 41,public (no auth),public-diner,,no,SCAFFOLD ONLY pending provider confirmation.
GET,/api/public/payments/callback,postman-only,BLOCKED_PENDING_PROVIDER,PublicCommercePayments,public-commerce-payments.controller.ts,@Get('callback') line 47,public (no auth),public-diner,,no,SCAFFOLD ONLY pending provider confirmation.
POST,/api/public/payments/ipn,postman-only,BLOCKED_PENDING_PROVIDER,PublicCommercePayments,public-commerce-payments.controller.ts,@Post('ipn') line 53,public (no auth),public-diner,,no,SCAFFOLD ONLY pending provider confirmation.
POST,/api/public/payments/reconcile-status,postman-only,BLOCKED_PENDING_PROVIDER,PublicCommercePayments,public-commerce-payments.controller.ts,@Post('reconcile-status') line 59,public (no auth),public-diner,,no,SCAFFOLD ONLY pending provider confirmation.
POST,/api/billing/pesapal/checkout-session,postman-only,VERIFIED_IN_CODE,BillingPesapal,billing-pesapal.controller.ts,@Post('billing/pesapal/checkout-session') line 20,JwtAuthGuard+PermissionGuard,owner-SaaS-only,,yes,LIVE. Owner SaaS subscription billing only. Never use for public diner flows.
GET,/api/billing/pesapal/callback,postman-only,VERIFIED_IN_CODE,BillingPesapal,billing-pesapal.controller.ts,@Get('billing/pesapal/callback') line 31,public (PesaPal redirect),owner-SaaS-only,,yes,LIVE. Owner SaaS subscription billing redirect target.
POST,/api/billing/pesapal/ipn,postman-only,VERIFIED_IN_CODE,BillingPesapal,billing-pesapal.controller.ts,@Post('billing/pesapal/ipn') line 40,public (PesaPal IPN),owner-SaaS-only,,yes,LIVE. Owner SaaS billing IPN.
POST,/api/billing/pesapal/reconcile-status,postman-only,VERIFIED_IN_CODE,BillingPesapal,billing-pesapal.controller.ts,@Post('billing/pesapal/reconcile-status') line 46,JwtAuthGuard+PermissionGuard billing:reconcile,owner-SaaS-only,,yes,LIVE. Owner SaaS billing reconciliation.
